wc_id,type,parent_id,sku,meta,status,name
4049,simple,"",PP-IULM-100M-MS,PP-IULM-100M-MS,private,"PRESTAN Infant Ultralite CPR Manikin with CPR Feedback (Single)"
6174,simple,"",10076-PPA-50,10076-PPA-50,private,"Rescue Mask Adaptors (individually wrapped), 50-Pack"
1600,variable,"",10144-UK-wpbase,10144-UK,publish,"Philips HeartStart FRx"
1822,variable,"",11145-EN-wpbase,11145-EN,publish,"Philips Heartstart HS1 with bag"
1908,variable,"",10699-wpbase,10699,private,"Zoll AED Plus Trainer 2 training unit"
1950,variable,"",11999-wpbase,11999,publish,"Zoll AED Plus Semi- Automatic"
1959,variable,"",11100-wpbase,11100,publish,"ZOLL AED Plus Fully Automatic"
1969,variable,"",11186EN-wpbase,11186EN,publish,"ZOLL AED 3 Semi- Automatic"
1993,variable,"",11187EN-wpbase,11187EN,publish,"ZOLL AED 3 Fully Automatic"
2829,variable,"",21018-UK-wpbase,21018-UK,publish,"Mindray BeneHeart C1A Semi"
2940,variable,"",52120-wpbase,52120,publish,"Reanibex 100 Semi-Automatic"
2952,variable,"",52119-wpbase,52119,publish,"Reanibex 100 Fully-Automatic"
2971,variable,"",11113-wpbase,11113,publish,"Heartsine Samaritan 350P"
2976,variable,"",11123-wpbase,11123,publish,"Heartsine Samaritan 360P"
2981,variable,"",11133-wpbase,11133,publish,"Heartsine Samaritan 500P"
3677,variable,"",PP-UFS-50-wpbase,PP-UFS-50,private,"PRESTAN Disposable Face Shields Ultralite — 50-Pack"
3678,variable,"",PP-APFS-50-wpbase,PP-APFS-50,private,"PRESTAN PRO+ Disposable Face Shields — 50-Pack"
3683,variable,"",PP-AEDT2-100-R-wpbase,PP-AEDT2-100-R,private,"PRESTAN AED Trainer PLUS Remote Control (Single)"
3685,variable,"",PP-UTPAD-1-wpbase,PP-UTPAD-1,private,"PRESTAN AED UltraTrainer Training Pads (Single set)"
3762,variable,"",PP-AEDT2-101-wpbase,PP-AEDT2-101,private,"PRESTAN Professional AED Trainer PLUS (Single)"
3874,variable,"",PP-AEDUT-101-wpbase,PP-AEDUT-101,private,"PRESTAN AED UltraTrainer (Single)"
3949,variable,"",PP-AM-400M-MS-wpbase,PP-AM-400M-MS,private,"PRESTAN Professional Adult CPR Manikin with CPR Feedback (4-Pack)"
3957,variable,"",PP-AM-2000-1-MS-wpbase,PP-AM-2000-1-MS,private,"PRESTAN Professional Adult Series 2000 CPR Manikin (Single)"
3963,variable,"",PP-AMP-100M-MS-wpbase,PP-AMP-100M-MS,private,"PRESTAN PRO+ Adult CPR Manikin (Single)"
